1489704908 INTERNAL *** MONITORD_STARTED ***
1489704907 INTERNAL *** DAGMAN_STARTED 88.0 ***
1489704912 create_dir_process_0_local SUBMIT 89.0 local - 1
1489704917 create_dir_process_0_local EXECUTE 89.0 local - 1
1489704917 create_dir_process_0_local JOB_TERMINATED 89.0 local - 1
1489704917 create_dir_process_0_local JOB_SUCCESS 0 local - 1
1489704917 create_dir_process_0_local POST_SCRIPT_STARTED 89.0 local - 1
1489704922 create_dir_process_0_local POST_SCRIPT_TERMINATED 89.0 local - 1
1489704922 create_dir_process_0_local POST_SCRIPT_SUCCESS 0 local - 1
1489704927 stage_in_remote_local_0_0 SUBMIT 90.0 local - 2
1489704932 stage_in_remote_local_0_0 EXECUTE 90.0 local - 2
1489704932 stage_in_remote_local_0_0 JOB_TERMINATED 90.0 local - 2
1489704932 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1489704932 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 90.0 local - 2
1489704937 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 90.0 local - 2
1489704937 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1489704942 prms_ID0000001 SUBMIT 91.0 condorpool - 3
1489704952 prms_ID0000001 EXECUTE 91.0 condorpool - 3
1489704952 prms_ID0000001 JOB_TERMINATED 91.0 condorpool - 3
1489704952 prms_ID0000001 JOB_SUCCESS 0 condorpool - 3
1489704952 prms_ID0000001 POST_SCRIPT_STARTED 91.0 condorpool - 3
1489704957 prms_ID0000001 POST_SCRIPT_TERMINATED 91.0 condorpool - 3
1489704957 prms_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 3
1489704962 stage_out_local_local_0_0 SUBMIT 92.0 local - 4
1489704967 stage_out_local_local_0_0 EXECUTE 92.0 local - 4
1489704967 stage_out_local_local_0_0 JOB_TERMINATED 92.0 local - 4
1489704967 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 4
1489704967 stage_out_local_local_0_0 POST_SCRIPT_STARTED 92.0 local - 4
1489704972 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 92.0 local - 4
1489704972 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1489704978 cleanup_process_0_local SUBMIT 93.0 local - 5
1489704983 cleanup_process_0_local EXECUTE 93.0 local - 5
1489704983 cleanup_process_0_local JOB_TERMINATED 93.0 local - 5
1489704983 cleanup_process_0_local JOB_SUCCESS 0 local - 5
1489704983 INTERNAL *** DAGMAN_FINISHED 0 ***
1489704984 INTERNAL *** MONITORD_FINISHED 0 ***
